event,RMSE,MSE,MAE,WAE,time
mDette_elmNNRcpp::elm_train_extremeML_01,6.7431,45.469,5.329,28.3835,0
mDette_elmNNRcpp::elm_train_extremeML_02,7.5593,57.1434,5.9955,31.0557,0
mDette_elmNNRcpp::elm_train_extremeML_03,7.8194,61.1433,6.3058,32.7449,0
mDette_elmNNRcpp::elm_train_extremeML_04,7.7733,60.4244,6.1872,33.5239,0
mDette_elmNNRcpp::elm_train_extremeML_05,7.5955,57.6915,6.1033,29.8407,0
mDette_elmNNRcpp::elm_train_extremeML_06,6.948,48.2747,5.4463,31.5313,0
mDette_elmNNRcpp::elm_train_extremeML_07,7.1357,50.9176,5.381,37.7463,0
mDette_elmNNRcpp::elm_train_extremeML_08,7.6634,58.7271,6.0102,33.7691,0
mDette_elmNNRcpp::elm_train_extremeML_09,7.5542,57.0662,6.0749,29.2617,0
mDette_elmNNRcpp::elm_train_extremeML_10,7.513,56.4453,5.9216,31.0957,0
mDette_ELMR::OSelm_train.formula_extremeML_01,7.6899,59.1345,6.1265,30.7591,0.02
mDette_ELMR::OSelm_train.formula_extremeML_02,7.3839,54.5215,5.8599,31.8911,0.01
mDette_ELMR::OSelm_train.formula_extremeML_03,7.337,53.8323,5.868,32.7475,0.01
mDette_ELMR::OSelm_train.formula_extremeML_04,7.6776,58.9452,6.2234,30.5462,0.02
mDette_ELMR::OSelm_train.formula_extremeML_05,7.0814,50.1456,5.6315,31.9727,0.02
mDette_ELMR::OSelm_train.formula_extremeML_06,7.544,56.9117,6.0286,30.6041,0.01
mDette_ELMR::OSelm_train.formula_extremeML_07,6.9424,48.1963,5.7142,31.3786,0.01
mDette_ELMR::OSelm_train.formula_extremeML_08,7.598,57.7293,6.1138,29.9199,0.01
mDette_ELMR::OSelm_train.formula_extremeML_09,7.2794,52.9892,5.8505,27.3255,0.02
mDette_ELMR::OSelm_train.formula_extremeML_10,6.8979,47.5806,5.6976,33.4573,0.02
mDette_EnsembleBase::Regression.Batch.Fit_none_01,1.0417,1.0851,0.7949,5.0705,0.09
mDette_EnsembleBase::Regression.Batch.Fit_none_02,0.9162,0.8395,0.7371,4.3568,0.09
mDette_EnsembleBase::Regression.Batch.Fit_none_03,1.0673,1.1392,0.8668,4.8568,0.07
mDette_EnsembleBase::Regression.Batch.Fit_none_04,13.9426,194.3962,11.3013,47.5398,0
mDette_EnsembleBase::Regression.Batch.Fit_none_05,1.0514,1.1055,0.8538,4.6901,0.08
mDette_EnsembleBase::Regression.Batch.Fit_none_06,13.9426,194.3962,11.3013,47.5398,0.02
mDette_EnsembleBase::Regression.Batch.Fit_none_07,13.9426,194.3962,11.3013,47.5398,0
mDette_EnsembleBase::Regression.Batch.Fit_none_08,13.9426,194.3962,11.3013,47.5398,0
mDette_EnsembleBase::Regression.Batch.Fit_none_09,0.9413,0.8861,0.7103,4.6712,0.07
mDette_EnsembleBase::Regression.Batch.Fit_none_10,13.9426,194.3962,11.3013,47.5398,0.01
mDette_h2o::h2o.deeplearning_first-order_01,0.3698,0.1368,0.2832,1.4519,7.19
mDette_h2o::h2o.deeplearning_first-order_02,0.3876,0.1502,0.3028,1.2149,7.49
mDette_h2o::h2o.deeplearning_first-order_03,0.3708,0.1375,0.2867,1.2719,6.3
mDette_h2o::h2o.deeplearning_first-order_04,0.3721,0.1385,0.2867,1.4289,5.25
mDette_h2o::h2o.deeplearning_first-order_05,0.4143,0.1717,0.3207,1.7433,5.22
mDette_h2o::h2o.deeplearning_first-order_06,0.3701,0.137,0.2859,1.3724,5.2
mDette_h2o::h2o.deeplearning_first-order_07,0.3729,0.1391,0.2869,1.5192,5.25
mDette_h2o::h2o.deeplearning_first-order_08,0.3682,0.1356,0.2827,1.4117,5.28
mDette_h2o::h2o.deeplearning_first-order_09,0.3716,0.1381,0.2864,1.3992,5.26
mDette_h2o::h2o.deeplearning_first-order_10,0.3769,0.142,0.2917,1.2718,5.19
mDette_keras::fit_adadelta_01,4.326,18.7145,3.0947,21.5614,54.1
mDette_keras::fit_adadelta_02,5.0319,25.3199,3.694,25.3063,33.63
mDette_keras::fit_adadelta_03,4.8931,23.942,3.5175,24.3185,33.94
mDette_keras::fit_adadelta_04,5.4872,30.1091,4.1622,25.6619,33.75
mDette_keras::fit_adadelta_05,5.9797,35.7569,4.7009,26.296,33.84
mDette_keras::fit_adadelta_06,5.0741,25.7461,3.7413,24.7837,33.8
mDette_keras::fit_adadelta_07,5.6998,32.4879,4.3432,27.5484,33.49
mDette_keras::fit_adadelta_08,4.6619,21.7338,3.3522,24.4974,33.99
mDette_keras::fit_adadelta_09,4.0883,16.7143,2.9191,20.3976,33.8
mDette_keras::fit_adadelta_10,4.7913,22.9562,3.416,23.8547,34.57
mDette_keras::fit_adagrad_01,2.2376,5.0068,1.5867,12.9834,9.89
mDette_keras::fit_adagrad_02,2.3348,5.4515,1.6095,13.7601,16.28
mDette_keras::fit_adagrad_03,2.2047,4.8608,1.5951,12.51,14.67
mDette_keras::fit_adagrad_04,2.0697,4.2836,1.4291,12.7546,32.39
mDette_keras::fit_adagrad_05,0.8252,0.681,0.5849,5.0206,32.67
mDette_keras::fit_adagrad_06,0.6392,0.4085,0.4578,3.3321,28.58
mDette_keras::fit_adagrad_07,2.2765,5.1826,1.6613,12.0391,8.39
mDette_keras::fit_adagrad_08,1.507,2.271,1.1403,7.9824,32.63
mDette_keras::fit_adagrad_09,2.2956,5.2697,1.5641,13.7076,15.17
mDette_keras::fit_adagrad_10,2.2999,5.2895,1.5827,13.6492,14.01
mDette_keras::fit_adam_01,1.1207,1.2561,0.8253,5.4536,3.37
mDette_keras::fit_adam_02,1.0958,1.2009,0.858,5.0073,3.02
mDette_keras::fit_adam_03,1.9178,3.678,1.3026,12.9181,3.08
mDette_keras::fit_adam_04,0.8655,0.7491,0.6543,3.4312,2.43
mDette_keras::fit_adam_05,0.9002,0.8104,0.6969,3.5967,4.23
mDette_keras::fit_adam_06,2.3569,5.5548,1.5508,14.723,1.7
mDette_keras::fit_adam_07,1.1233,1.2619,0.8861,4.4319,4.27
mDette_keras::fit_adam_08,0.8331,0.694,0.6483,3.447,3.54
mDette_keras::fit_adam_09,2.4034,5.7764,1.6803,14.6272,3.41
mDette_keras::fit_adam_10,2.6171,6.849,2.0419,13.4392,2.22
mDette_keras::fit_adamax_01,0.8053,0.6486,0.6362,3.4109,5.98
mDette_keras::fit_adamax_02,2.3717,5.6249,1.6485,14.0609,2.59
mDette_keras::fit_adamax_03,2.3796,5.6627,1.5937,14.1298,3.54
mDette_keras::fit_adamax_04,0.645,0.4161,0.5024,3.247,4.46
mDette_keras::fit_adamax_05,0.5807,0.3372,0.4756,1.5864,7.85
mDette_keras::fit_adamax_06,0.5565,0.3096,0.4157,2.3482,7.14
mDette_keras::fit_adamax_07,0.5285,0.2793,0.4036,2.4411,9.32
mDette_keras::fit_adamax_08,2.2963,5.2731,1.6601,12.7079,4.26
mDette_keras::fit_adamax_09,0.5777,0.3337,0.4472,2.7439,5.38
mDette_keras::fit_adamax_10,0.5614,0.3152,0.4168,2.4734,5.41
mDette_keras::fit_nadam_01,0.9627,0.9268,0.7455,5.7078,4.27
mDette_keras::fit_nadam_02,0.964,0.9292,0.7373,4.8479,4.51
mDette_keras::fit_nadam_03,2.1884,4.7893,1.3112,15.7899,2.72
mDette_keras::fit_nadam_04,2.5952,6.7349,1.8715,15.7521,2.64
mDette_keras::fit_nadam_05,1.1724,1.3744,0.8645,4.6126,5.11
mDette_keras::fit_nadam_06,1.1702,1.3693,0.8921,5.6017,3.87
mDette_keras::fit_nadam_07,2.6886,7.2285,1.8299,15.4048,2.17
mDette_keras::fit_nadam_08,1.5376,2.3643,1.2199,5.0325,5.47
mDette_keras::fit_nadam_09,2.6373,6.9553,1.7505,16.3606,2.47
mDette_keras::fit_nadam_10,1.4125,1.995,1.1605,4.136,5.27
mDette_keras::fit_rmsprop_01,3.1692,10.0438,2.2377,18.0714,1.58
mDette_keras::fit_rmsprop_02,3.125,9.7657,2.2855,16.5222,1.51
mDette_keras::fit_rmsprop_03,3.8687,14.9666,2.8808,18.1968,1.9
mDette_keras::fit_rmsprop_04,3.2532,10.5834,2.281,18.1144,2.77
mDette_keras::fit_rmsprop_05,5.6325,31.7251,4.9171,12.2224,1.66
mDette_keras::fit_rmsprop_06,3.3238,11.0474,2.8294,12.9,2.31
mDette_keras::fit_rmsprop_07,5.8628,34.3723,5.6662,11.1316,3.76
mDette_keras::fit_rmsprop_08,2.7613,7.625,2.079,14.3243,2.06
mDette_keras::fit_rmsprop_09,3.8443,14.7786,2.7815,21.2505,1.83
mDette_keras::fit_rmsprop_10,3.1922,10.1904,2.3233,16.7004,1.59
mDette_keras::fit_sgd_01,2.3529,5.5362,1.7953,11.1995,3.58
mDette_keras::fit_sgd_02,0.6211,0.3858,0.4626,3.7672,11.83
mDette_keras::fit_sgd_03,2.1755,4.7326,1.668,10.4683,5.5
mDette_keras::fit_sgd_04,0.9129,0.8334,0.7193,2.7137,15.31
