event,RMSE,MSE,MAE,WAE,time
mFriedman_EnsembleBase::Regression.Batch.Fit_none_10,0.0251,0.0006,0.0164,0.1347,0.1
mFriedman_h2o::h2o.deeplearning_first-order_01,0.0263,0.0007,0.0216,0.0774,6.28
mFriedman_h2o::h2o.deeplearning_first-order_02,0.0823,0.0068,0.0735,0.1803,5.28
mFriedman_h2o::h2o.deeplearning_first-order_03,0.0823,0.0068,0.0731,0.1902,6.28
mFriedman_h2o::h2o.deeplearning_first-order_04,0.0211,0.0004,0.0168,0.0715,6.32
mFriedman_h2o::h2o.deeplearning_first-order_05,0.0238,0.0006,0.0188,0.0801,6.25
mFriedman_h2o::h2o.deeplearning_first-order_06,0.0231,0.0005,0.0191,0.06,6.33
mFriedman_h2o::h2o.deeplearning_first-order_07,0.0269,0.0007,0.021,0.09,6.28
mFriedman_h2o::h2o.deeplearning_first-order_08,0.0253,0.0006,0.0206,0.0716,6.32
mFriedman_h2o::h2o.deeplearning_first-order_09,0.0243,0.0006,0.0185,0.0898,6.21
mFriedman_h2o::h2o.deeplearning_first-order_10,0.0302,0.0009,0.0244,0.0787,6.35
mFriedman_keras::fit_adadelta_01,0.1149,0.0132,0.0911,0.3557,33.79
mFriedman_keras::fit_adadelta_02,0.1162,0.0135,0.0904,0.3656,33.78
mFriedman_keras::fit_adadelta_03,0.1282,0.0164,0.0998,0.4144,33.25
mFriedman_keras::fit_adadelta_04,0.1172,0.0137,0.0906,0.3993,33.45
mFriedman_keras::fit_adadelta_05,0.0953,0.0091,0.072,0.3796,33.28
mFriedman_keras::fit_adadelta_06,0.1296,0.0168,0.1022,0.4194,33.16
mFriedman_keras::fit_adadelta_07,0.1149,0.0132,0.0903,0.3937,32.9
mFriedman_keras::fit_adadelta_08,0.1377,0.019,0.1074,0.4993,33.23
mFriedman_keras::fit_adadelta_09,0.1155,0.0133,0.091,0.3709,33
mFriedman_keras::fit_adadelta_10,0.1297,0.0168,0.1019,0.4169,33.79
mFriedman_keras::fit_adagrad_01,0.029,0.0008,0.0229,0.0937,28.35
mFriedman_keras::fit_adagrad_02,0.0315,0.001,0.0245,0.1192,15.07
mFriedman_keras::fit_adagrad_03,0.0856,0.0073,0.0761,0.1981,16.61
mFriedman_keras::fit_adagrad_04,0.0344,0.0012,0.0271,0.1367,24.22
mFriedman_keras::fit_adagrad_05,0.0324,0.001,0.026,0.1205,29.5
mFriedman_keras::fit_adagrad_06,0.0305,0.0009,0.0244,0.0854,13.85
mFriedman_keras::fit_adagrad_07,0.036,0.0013,0.0284,0.1569,32.16
mFriedman_keras::fit_adagrad_08,0.0856,0.0073,0.076,0.2638,8.27
mFriedman_keras::fit_adagrad_09,0.0285,0.0008,0.0223,0.0976,22.84
mFriedman_keras::fit_adagrad_10,0.0846,0.0072,0.0758,0.2399,9.67
mFriedman_keras::fit_adam_01,0.0503,0.0025,0.041,0.1402,3
mFriedman_keras::fit_adam_02,0.0499,0.0025,0.039,0.1983,3.96
mFriedman_keras::fit_adam_03,0.0652,0.0043,0.0527,0.1898,2.81
mFriedman_keras::fit_adam_04,0.0978,0.0096,0.0813,0.2578,2.97
mFriedman_keras::fit_adam_05,0.0943,0.0089,0.0787,0.27,3.13
mFriedman_keras::fit_adam_06,0.1065,0.0113,0.0853,0.2963,2.41
mFriedman_keras::fit_adam_07,0.0706,0.005,0.0587,0.184,2.76
mFriedman_keras::fit_adam_08,0.092,0.0085,0.0714,0.3598,2.08
mFriedman_keras::fit_adam_09,0.0913,0.0083,0.0743,0.2635,1.73
mFriedman_keras::fit_adam_10,0.0578,0.0033,0.045,0.1953,3.22
mFriedman_keras::fit_adamax_01,0.0376,0.0014,0.0301,0.1562,4.48
mFriedman_keras::fit_adamax_02,0.0415,0.0017,0.0326,0.1621,2.78
mFriedman_keras::fit_adamax_03,0.0386,0.0015,0.0309,0.1267,2.38
mFriedman_keras::fit_adamax_04,0.0396,0.0016,0.031,0.1444,3
mFriedman_keras::fit_adamax_05,0.0357,0.0013,0.0278,0.141,5.17
mFriedman_keras::fit_adamax_06,0.039,0.0015,0.0305,0.1515,4.37
mFriedman_keras::fit_adamax_07,0.0888,0.0079,0.0776,0.2038,2.76
mFriedman_keras::fit_adamax_08,0.0358,0.0013,0.0283,0.1288,2.93
mFriedman_keras::fit_adamax_09,0.0374,0.0014,0.0305,0.1284,3.53
mFriedman_keras::fit_adamax_10,0.0891,0.0079,0.0768,0.248,2.94
mFriedman_keras::fit_nadam_01,0.1065,0.0113,0.0872,0.3162,1.83
mFriedman_keras::fit_nadam_02,0.1088,0.0118,0.0854,0.3525,2.41
mFriedman_keras::fit_nadam_03,0.1073,0.0115,0.0864,0.2766,2.73
mFriedman_keras::fit_nadam_04,0.107,0.0115,0.0878,0.2878,2.48
mFriedman_keras::fit_nadam_05,0.1487,0.0221,0.1229,0.406,2.5
mFriedman_keras::fit_nadam_06,0.0787,0.0062,0.0624,0.2179,5.61
mFriedman_keras::fit_nadam_07,0.1116,0.0125,0.0899,0.3405,2.03
mFriedman_keras::fit_nadam_08,0.1039,0.0108,0.0837,0.3316,2.11
mFriedman_keras::fit_nadam_09,0.0939,0.0088,0.0743,0.311,3.18
mFriedman_keras::fit_nadam_10,0.1021,0.0104,0.0871,0.2605,1.82
mFriedman_keras::fit_rmsprop_01,0.1386,0.0192,0.1124,0.4069,2.06
mFriedman_keras::fit_rmsprop_02,0.1209,0.0146,0.0985,0.3651,2.03
mFriedman_keras::fit_rmsprop_03,0.1422,0.0202,0.1182,0.3524,2.03
mFriedman_keras::fit_rmsprop_04,0.1121,0.0126,0.089,0.3225,1.35
