event,RMSE,MSE,MAE,WAE,time
uDreyfus2_neuralnet::neuralnet_slr_10,0.335,0.1123,0.2655,0.8317,0
uDreyfus2_neuralnet::neuralnet_sag_01,0.2435,0.0593,0.1787,0.7175,0.08
uDreyfus2_neuralnet::neuralnet_sag_02,0.4176,0.1744,0.2955,1.1271,0.05
uDreyfus2_neuralnet::neuralnet_sag_03,0.3391,0.115,0.2731,0.8443,0.03
uDreyfus2_neuralnet::neuralnet_sag_04,0.3761,0.1414,0.2826,0.9643,0.02
uDreyfus2_neuralnet::neuralnet_sag_05,0.2002,0.0401,0.1482,0.601,0.11
uDreyfus2_neuralnet::neuralnet_sag_06,0.3628,0.1316,0.2795,0.9386,0
uDreyfus2_neuralnet::neuralnet_sag_07,0.138,0.0191,0.1095,0.4437,0.14
uDreyfus2_neuralnet::neuralnet_sag_08,0.1732,0.03,0.1267,0.534,0.13
uDreyfus2_neuralnet::neuralnet_sag_09,0.367,0.1347,0.2791,0.9584,0.03
uDreyfus2_neuralnet::neuralnet_sag_10,0.3736,0.1396,0.2823,0.9698,0.03
uDreyfus2_neuralnet::neuralnet_rprop-_01,0.2449,0.06,0.1778,0.7152,0.02
uDreyfus2_neuralnet::neuralnet_rprop-_02,0.377,0.1421,0.2788,0.9782,0
uDreyfus2_neuralnet::neuralnet_rprop-_03,0.3625,0.1314,0.2784,0.934,0.02
uDreyfus2_neuralnet::neuralnet_rprop-_04,0.3531,0.1247,0.279,0.9015,0
uDreyfus2_neuralnet::neuralnet_rprop-_05,0.314,0.0986,0.2478,0.7467,0.01
uDreyfus2_neuralnet::neuralnet_rprop-_06,0.1201,0.0144,0.093,0.3439,0.02
uDreyfus2_neuralnet::neuralnet_rprop-_07,0.3543,0.1255,0.2821,0.8802,0
uDreyfus2_neuralnet::neuralnet_rprop-_08,0.2974,0.0884,0.2192,0.8638,0
uDreyfus2_neuralnet::neuralnet_rprop-_09,0.2627,0.069,0.2066,0.6803,0
uDreyfus2_neuralnet::neuralnet_rprop-_10,0.3643,0.1327,0.2791,0.9472,0
uDreyfus2_neuralnet::neuralnet_rprop+_01,0.2553,0.0652,0.1952,0.7343,0.01
uDreyfus2_neuralnet::neuralnet_rprop+_02,0.3592,0.129,0.2672,0.9552,0.02
uDreyfus2_neuralnet::neuralnet_rprop+_03,0.1514,0.0229,0.1172,0.4654,0.02
uDreyfus2_neuralnet::neuralnet_rprop+_04,0.342,0.1169,0.2693,0.895,0
uDreyfus2_neuralnet::neuralnet_rprop+_05,0.2293,0.0526,0.1743,0.6626,0.02
uDreyfus2_neuralnet::neuralnet_rprop+_06,0.321,0.103,0.2498,0.8028,0.01
uDreyfus2_neuralnet::neuralnet_rprop+_07,0.3639,0.1324,0.274,0.9432,0
uDreyfus2_neuralnet::neuralnet_rprop+_08,0.3642,0.1327,0.277,0.9495,0
uDreyfus2_neuralnet::neuralnet_rprop+_09,0.4162,0.1732,0.2977,1.1196,0
uDreyfus2_neuralnet::neuralnet_rprop+_10,0.3283,0.1078,0.273,0.7582,0
uDreyfus2_neuralnet::neuralnet_backprop_01,0.3662,0.1341,0.2774,0.9663,0.04
uDreyfus2_neuralnet::neuralnet_backprop_02,0.3632,0.1319,0.2781,0.9474,0.03
uDreyfus2_neuralnet::neuralnet_backprop_03,0.3763,0.1416,0.278,0.9932,0.02
uDreyfus2_neuralnet::neuralnet_backprop_04,0.3584,0.1285,0.2791,0.9327,0.05
uDreyfus2_neuralnet::neuralnet_backprop_05,0.4041,0.1633,0.2891,1.0759,0.03
uDreyfus2_neuralnet::neuralnet_backprop_06,0.3738,0.1398,0.286,0.9574,0.05
uDreyfus2_neuralnet::neuralnet_backprop_07,0.3647,0.133,0.2782,0.9526,0.08
