event,RMSE,MSE,MAE,WAE,time
uDmod1_ELMR::OSelm_train.formula_extremeML_03,0.3282,0.1077,0.2781,0.8762,0
uDmod1_ELMR::OSelm_train.formula_extremeML_04,0.3088,0.0954,0.2566,0.8469,0
uDmod1_ELMR::OSelm_train.formula_extremeML_05,0.3035,0.0921,0.2478,0.8171,0
uDmod1_ELMR::OSelm_train.formula_extremeML_06,0.3219,0.1036,0.2737,0.8402,0
uDmod1_ELMR::OSelm_train.formula_extremeML_07,0.3087,0.0953,0.2564,0.8555,0
uDmod1_ELMR::OSelm_train.formula_extremeML_08,0.3458,0.1196,0.2875,0.888,0.01
uDmod1_ELMR::OSelm_train.formula_extremeML_09,0.318,0.1011,0.2677,0.8696,0
uDmod1_ELMR::OSelm_train.formula_extremeML_10,0.3024,0.0914,0.2476,0.83,0
uDmod1_EnsembleBase::Regression.Batch.Fit_none_01,0.0634,0.004,0.0487,0.1872,0.02
uDmod1_EnsembleBase::Regression.Batch.Fit_none_02,0.0997,0.0099,0.0789,0.3485,0.01
uDmod1_EnsembleBase::Regression.Batch.Fit_none_03,0.0643,0.0041,0.0487,0.2152,0.01
uDmod1_EnsembleBase::Regression.Batch.Fit_none_04,0.0608,0.0037,0.0458,0.2144,0.02
uDmod1_EnsembleBase::Regression.Batch.Fit_none_05,0.0541,0.0029,0.0418,0.1344,0.02
uDmod1_EnsembleBase::Regression.Batch.Fit_none_06,0.1002,0.01,0.0773,0.39,0.01
uDmod1_EnsembleBase::Regression.Batch.Fit_none_07,0.0587,0.0034,0.0462,0.173,0.01
uDmod1_EnsembleBase::Regression.Batch.Fit_none_08,0.1209,0.0146,0.0826,0.5074,0.01
uDmod1_EnsembleBase::Regression.Batch.Fit_none_09,0.1042,0.0109,0.0772,0.4217,0.01
uDmod1_EnsembleBase::Regression.Batch.Fit_none_10,0.0603,0.0036,0.045,0.1941,0
uDmod1_h2o::h2o.deeplearning_first-order_01,0.0521,0.0027,0.0435,0.1118,3.12
uDmod1_h2o::h2o.deeplearning_first-order_02,0.0482,0.0023,0.0388,0.1213,3.16
uDmod1_h2o::h2o.deeplearning_first-order_03,0.1223,0.0149,0.0814,0.5165,3.08
uDmod1_h2o::h2o.deeplearning_first-order_04,0.0529,0.0028,0.0439,0.1262,3.14
uDmod1_h2o::h2o.deeplearning_first-order_05,0.1131,0.0128,0.0782,0.4323,3.1
uDmod1_h2o::h2o.deeplearning_first-order_06,0.0635,0.004,0.0466,0.1911,3.25
uDmod1_h2o::h2o.deeplearning_first-order_07,0.0519,0.0027,0.042,0.1157,3.15
uDmod1_h2o::h2o.deeplearning_first-order_08,0.0496,0.0025,0.041,0.1128,3.2
uDmod1_h2o::h2o.deeplearning_first-order_09,0.0498,0.0025,0.04,0.1144,5.21
uDmod1_h2o::h2o.deeplearning_first-order_10,0.0531,0.0028,0.0439,0.1225,3.21
uDmod1_keras::fit_adadelta_01,0.5728,0.328,0.5096,0.9256,7.89
uDmod1_keras::fit_adadelta_02,0.579,0.3352,0.5159,0.9316,7.9
uDmod1_keras::fit_adadelta_03,0.5628,0.3168,0.5002,0.8972,7.86
uDmod1_keras::fit_adadelta_04,0.5332,0.2844,0.4649,0.8824,8.27
uDmod1_keras::fit_adadelta_05,0.56,0.3136,0.4978,0.9157,8.17
uDmod1_keras::fit_adadelta_06,0.5757,0.3315,0.5131,0.9213,7.78
uDmod1_keras::fit_adadelta_07,0.5634,0.3174,0.5008,0.9022,7.86
uDmod1_keras::fit_adadelta_08,0.5601,0.3137,0.4974,0.9054,8.1
uDmod1_keras::fit_adadelta_09,0.5258,0.2764,0.4592,0.9024,8.24
uDmod1_keras::fit_adadelta_10,0.5745,0.33,0.5114,0.925,7.6
uDmod1_keras::fit_adagrad_01,0.3611,0.1304,0.3067,0.8504,4
uDmod1_keras::fit_adagrad_02,0.2644,0.0699,0.2126,0.6359,7.64
uDmod1_keras::fit_adagrad_03,0.3533,0.1248,0.3039,0.8116,3.39
uDmod1_keras::fit_adagrad_04,0.2738,0.0749,0.2222,0.674,7.66
uDmod1_keras::fit_adagrad_05,0.3585,0.1285,0.3067,0.8435,3.02
uDmod1_keras::fit_adagrad_06,0.2418,0.0585,0.1868,0.6182,7.68
uDmod1_keras::fit_adagrad_07,0.239,0.0571,0.1878,0.569,7.72
uDmod1_keras::fit_adagrad_08,0.2475,0.0612,0.1927,0.6283,7.66
uDmod1_keras::fit_adagrad_09,0.2432,0.0592,0.1879,0.606,7.66
uDmod1_keras::fit_adagrad_10,0.2512,0.0631,0.1956,0.6228,7.8
uDmod1_keras::fit_adam_01,0.1732,0.03,0.1379,0.5321,3.36
uDmod1_keras::fit_adam_02,0.2194,0.0481,0.1766,0.5447,1.88
uDmod1_keras::fit_adam_03,0.1752,0.0307,0.1378,0.5532,2.68
uDmod1_keras::fit_adam_04,0.1673,0.028,0.1349,0.401,2.19
uDmod1_keras::fit_adam_05,0.2154,0.0464,0.1702,0.5407,1.49
uDmod1_keras::fit_adam_06,0.1581,0.025,0.1206,0.5039,3.63
uDmod1_keras::fit_adam_07,0.193,0.0373,0.1559,0.4388,1.61
uDmod1_keras::fit_adam_08,0.2245,0.0504,0.1781,0.6138,1.39
uDmod1_keras::fit_adam_09,0.1482,0.022,0.1119,0.5621,4
uDmod1_keras::fit_adam_10,0.1676,0.0281,0.1381,0.4357,3.7
uDmod1_keras::fit_adamax_01,0.2244,0.0503,0.1787,0.5346,2.39
uDmod1_keras::fit_adamax_02,0.2256,0.0509,0.1805,0.5404,2.33
uDmod1_keras::fit_adamax_03,0.1524,0.0232,0.1224,0.467,7.55
uDmod1_keras::fit_adamax_04,0.1912,0.0366,0.1569,0.393,3.44
uDmod1_keras::fit_adamax_05,0.1855,0.0344,0.1507,0.4297,4.39
uDmod1_keras::fit_adamax_06,0.2204,0.0486,0.1669,0.671,4.94
uDmod1_keras::fit_adamax_07,0.1599,0.0256,0.1234,0.5603,6.49
uDmod1_keras::fit_adamax_08,0.218,0.0475,0.1756,0.5359,2.92
uDmod1_keras::fit_adamax_09,0.1697,0.0288,0.1292,0.6104,7.81
uDmod1_keras::fit_adamax_10,0.1823,0.0333,0.1479,0.4715,4.51
uDmod1_keras::fit_nadam_01,0.2105,0.0443,0.1691,0.519,2.36
uDmod1_keras::fit_nadam_02,0.1991,0.0396,0.1607,0.4799,1.79
uDmod1_keras::fit_nadam_03,0.1688,0.0285,0.1366,0.4715,3.58
uDmod1_keras::fit_nadam_04,0.2513,0.0632,0.2032,0.6294,1.59
uDmod1_keras::fit_nadam_05,0.1765,0.0312,0.1427,0.5367,3.91
uDmod1_keras::fit_nadam_06,0.1663,0.0277,0.1392,0.3997,3.36
uDmod1_keras::fit_nadam_07,0.2359,0.0557,0.1852,0.6282,2.47
uDmod1_keras::fit_nadam_08,0.3795,0.144,0.3184,0.8414,1.45
uDmod1_keras::fit_nadam_09,0.2836,0.0804,0.2255,0.7223,2
uDmod1_keras::fit_nadam_10,0.1836,0.0337,0.1445,0.5997,4.18
uDmod1_keras::fit_rmsprop_01,0.2076,0.0431,0.1598,0.5812,2.39
uDmod1_keras::fit_rmsprop_02,0.3153,0.0994,0.2417,0.807,1.71
uDmod1_keras::fit_rmsprop_03,0.2946,0.0868,0.2371,0.73,1.19
uDmod1_keras::fit_rmsprop_04,0.4621,0.2135,0.3803,1.0066,1.02
